# PURPOSE: This file distributes the Hp30 index and ap30 index of the geomagnetic Hpo index family
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences, please cite:
# Yamazaki, Y., Matzka, J., da Silva, M.V., Kervalishvili, G., Korte, M., Rauberg, J., 2024. Assessment of geomagnetic activity for the 
# Kp=9 "Gannon Storm" in May 2024 based on version 3.0 Hpo Indices. ESS Open Archive, https://doi.org/10.22541/essoar.171838396.68563140/v1
#
# Hp30 and ap30
# Hp30 and ap30 are produced by Geomagnetic Observatory Niemegk, GFZ Helmholtz Centre for Geosciences. Both indices are unitless.
# Described in: Yamazaki et al. (2024), see reference above.
# Data publication: Matzka, J., Bronkalla, O., da Silva, M.V., Kervalishvili, G., Rauberg, J., Korte., M. and Yamazaki, Y., 2024. Geomagnetic
# Hpo index. V. 3.0. GFZ Data Services, https://doi.org/10.5880/Hpo.0003
# 
# Short file description (for a detailed file description, see Hpo_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Hp30 and -1 for ap30
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Hp30 and ap30 are given
# hh._m is mid time in hours of interval for which Hp30 and ap30 are given
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Hp30, ap30
# Currently always D = 0, reserved for future use.
#
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
#
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m   Hp30 ap30 D
2026 09 08 20.5 20.75 34584.85417 34584.86458  4.000   27 0
2026 09 08 21.0 21.25 34584.87500 34584.88542  4.333   32 0
2026 09 08 21.5 21.75 34584.89583 34584.90625  4.000   27 0
2026 09 08 22.0 22.25 34584.91667 34584.92708  3.000   15 0
2026 09 08 22.5 22.75 34584.93750 34584.94792  2.000    7 0
2026 09 08 23.0 23.25 34584.95833 34584.96875  2.667   12 0
2026 09 08 23.5 23.75 34584.97917 34584.98958  2.667   12 0
2026 09 09 00.0 00.25 34585.00000 34585.01042  2.667   12 0
2026 09 09 00.5 00.75 34585.02083 34585.03125  3.667   22 0
2026 09 09 01.0 01.25 34585.04167 34585.05208  2.333    9 0
2026 09 09 01.5 01.75 34585.06250 34585.07292  1.667    6 0
2026 09 09 02.0 02.25 34585.08333 34585.09375  1.000    4 0
2026 09 09 02.5 02.75 34585.10417 34585.11458  0.667    3 0
2026 09 09 03.0 03.25 34585.12500 34585.13542  0.667    3 0
2026 09 09 03.5 03.75 34585.14583 34585.15625  0.000    0 0
2026 09 09 04.0 04.25 34585.16667 34585.17708  0.000    0 0
2026 09 09 04.5 04.75 34585.18750 34585.19792  0.333    2 0
2026 09 09 05.0 05.25 34585.20833 34585.21875  2.000    7 0
2026 09 09 05.5 05.75 34585.22917 34585.23958  2.000    7 0
2026 09 09 06.0 06.25 34585.25000 34585.26042  1.333    5 0
2026 09 09 06.5 06.75 34585.27083 34585.28125  1.667    6 0
2026 09 09 07.0 07.25 34585.29167 34585.30208  2.000    7 0
2026 09 09 07.5 07.75 34585.31250 34585.32292  2.000    7 0
