time (Julian Date),observed_flux (solar flux unit (SFU)),adjusted_flux (solar flux unit (SFU))
2461289.197,110.7,112.5
2461289.322,110.7,112.5
2461289.447,111.3,113.1
2461290.197,109.8,111.5
2461290.322,109.5,111.2
2461290.447,110.0,111.7
2461291.197,108.8,110.5
2461291.322,109.7,111.4
2461291.447,109.8,111.5
2461292.197,109.1,110.8
2461292.322,110.4,112.0
2461292.447,111.5,113.2
