time (yyyy MM dd),absolute_f32 (solar flux unit (SFU)),absolute_f32_c (solar flux unit (SFU)),absolute_f32_p (solar flux unit (SFU)),absolute_f32_f,adjusted_f32 (solar flux unit (SFU)),adjusted_f32_c (solar flux unit (SFU)),adjusted_f32_p (solar flux unit (SFU)),adjusted_f32_f
2026 9 5,298.0,298.0,5.0,1,302.9,302.9,5.1,1
2026 9 6,296.0,296.0,5.0,1,300.7,300.7,5.1,1
2026 9 7,298.0,298.0,5.0,1,302.6,302.6,5.1,1
2026 9 8,294.0,294.0,5.0,1,298.4,298.4,5.1,1
