time (yyyy MM dd),absolute_f30 (solar flux unit (SFU)),absolute_f30_c (solar flux unit (SFU)),absolute_f30_p (solar flux unit (SFU)),absolute_f30_f,adjusted_f30 (solar flux unit (SFU)),adjusted_f30_c (solar flux unit (SFU)),adjusted_f30_p (solar flux unit (SFU)),adjusted_f30_f
2026 9 5,79.0,79.0,2.7,1,80.3,80.3,2.8,1
2026 9 6,81.0,81.0,2.7,1,82.3,82.3,2.8,1
2026 9 7,83.0,83.0,2.7,1,84.3,84.3,2.8,1
2026 9 8,84.0,84.0,2.7,1,85.2,85.2,2.8,1
